iter	Accuracy	Logloss
0	0.7527131852	0.6792339709
1	0.7773922159	0.6691939844
2	0.7977323145	0.6574464202
3	0.800224232	0.6479115606
4	0.8081290239	0.6375877616
5	0.804109844	0.6285836244
6	0.8003578	0.6198827911
7	0.80281464	0.6129717517
8	0.8032908973	0.6044668697
9	0.8011011933	0.5980882179
10	0.799329732	0.5910682362
11	0.801519436	0.5860050065
12	0.8039007226	0.5794969967
13	0.802948208	0.5721511356
14	0.804243412	0.5671014581
15	0.8060148733	0.5614897446
16	0.8097089026	0.5544581036
17	0.8082045773	0.5472240218
18	0.806566684	0.5424539259
19	0.805405048	0.5387625083
20	0.805405048	0.534390638
21	0.807861888	0.5292183793
22	0.8070429413	0.5252657519
23	0.8071765093	0.5210519147
24	0.806700252	0.5163929332
25	0.8084717133	0.5119746293
26	0.8084717133	0.5069332116
27	0.8102431746	0.5044853359
28	0.8101096066	0.5008986033
29	0.8076527666	0.4988667306
30	0.8096333493	0.496644649
31	0.8101096066	0.4944563776
32	0.8105858639	0.4917933903
33	0.8139952186	0.4891189924
34	0.8130427039	0.4852851087
35	0.8114048106	0.4830992923
36	0.8151568546	0.4805685632
37	0.8139952186	0.478030841
38	0.8136525292	0.4754439747
39	0.8139952186	0.4725725546
40	0.8165856265	0.4702250501
41	0.8125664466	0.4671157478
42	0.8159758012	0.4642505407
43	0.8132518253	0.461797668
44	0.8116139319	0.4593229008
45	0.8129091359	0.4565530701
46	0.8129091359	0.4550209081
47	0.8124328786	0.4526711184
48	0.8124328786	0.4501873608
49	0.8150232866	0.4481795852
50	0.8120901893	0.4461597336
51	0.8133853933	0.4443655462
52	0.8133853933	0.4436856061
53	0.8117474999	0.4425527791
54	0.8125664466	0.4406812508
55	0.8143379079	0.438954645
56	0.8156331119	0.4380986128
57	0.8159758012	0.4360197465
58	0.8154995439	0.4344555383
59	0.8158422332	0.4326137878
60	0.8158422332	0.4309292198
61	0.8176136946	0.4298806797
62	0.8176136946	0.4287387961
63	0.8184326412	0.4273688609
64	0.8171374372	0.4265529389
65	0.8182990732	0.4251299235
66	0.8191180199	0.4237168871
67	0.8191180199	0.4221397039
68	0.8217084279	0.4213365715
69	0.8217084279	0.4207799797
70	0.8217084279	0.4194383381
71	0.8221846852	0.4181137554
72	0.8233463212	0.4173649369
73	0.8208894812	0.4165029274
74	0.8254604719	0.4158998707
75	0.8246415252	0.4149587876
76	0.8233463212	0.4140552989
77	0.8233463212	0.4130603216
78	0.8241652679	0.4122346757
79	0.8246415252	0.4109621257
80	0.8221846852	0.4096078299
81	0.8267556758	0.4086372148
82	0.8233463212	0.4077326529
83	0.8246415252	0.4065798924
84	0.8238225785	0.4054460807
85	0.8238225785	0.40462722
86	0.8254604719	0.4037152665
87	0.8255940398	0.4031052322
88	0.8251177825	0.4019538128
89	0.8264129865	0.4013328908
90	0.8264129865	0.4010530027
91	0.8285271372	0.4001500617
92	0.8285271372	0.3993993524
93	0.8272319332	0.3990989563
94	0.8314602345	0.3984135594
95	0.8314602345	0.3974250766
96	0.8314602345	0.3968802296
97	0.8314602345	0.3961634105
98	0.8319364918	0.3951807785
99	0.8311175451	0.3944049583
100	0.8311175451	0.3934025254
101	0.8311175451	0.3928972259
102	0.8311175451	0.3925469229
103	0.8319364918	0.3913109812
104	0.8340506424	0.3908573587
105	0.8319364918	0.3896939605
106	0.8332316958	0.3888741162
107	0.8348695891	0.3882173577
108	0.8327554385	0.3872600935
109	0.8335743851	0.3866611976
110	0.8314602345	0.3862249428
111	0.8322791811	0.3852934886
112	0.8314602345	0.3844182068
113	0.8327554385	0.3841262972
114	0.8347360211	0.3836844771
115	0.8335743851	0.3833161304
116	0.8352122784	0.3826420233
117	0.8368501718	0.3819330867
118	0.8373264291	0.381465063
119	0.8386216331	0.380686208
120	0.8378026864	0.3800765945
121	0.8381453758	0.3797502074
122	0.8402595264	0.3793007117
123	0.8410784731	0.3786330621
124	0.8402595264	0.3778821645
125	0.8402595264	0.377158191
126	0.8423736771	0.3764211983
127	0.8444878277	0.3756598842
128	0.8453067744	0.3752541437
129	0.8444878277	0.3746618879
130	0.8453067744	0.37427563
131	0.8466019784	0.3736080284
132	0.8466019784	0.3733608216
133	0.8444878277	0.3725733079
134	0.8444878277	0.3723475123
135	0.846125721	0.3716010487
136	0.8453067744	0.3709041622
137	0.8456494637	0.3702219452
138	0.8477636144	0.3699248786
139	0.8477636144	0.3694292242
140	0.8490588184	0.3688184132
141	0.8482398717	0.3681985009
142	0.8469446677	0.3677944365
143	0.8469446677	0.366979528
144	0.846125721	0.3663492289
145	0.8469446677	0.3655994496
146	0.846125721	0.3653287496
147	0.8469446677	0.3647157034
148	0.8477636144	0.3643791668
149	0.8477636144	0.3638833904
150	0.8477636144	0.3635537272
151	0.8494015077	0.3631310437
152	0.848582561	0.3627123399
153	0.8490588184	0.3619595416
154	0.8490588184	0.3618958898
155	0.849877765	0.3615969631
156	0.8506967117	0.3609660139
157	0.8503540223	0.3602720972
158	0.8503540223	0.3596064153
159	0.8503540223	0.3593892336
160	0.8495350757	0.3590793809
161	0.851172969	0.3586898407
162	0.8495350757	0.3580657143
163	0.851172969	0.357645695
164	0.851172969	0.3570287461
165	0.8532871197	0.3565777861
166	0.8532871197	0.3561268579
167	0.8532871197	0.3557865721
168	0.8532871197	0.3555705068
169	0.8532871197	0.355218693
170	0.8541060663	0.3549269632
171	0.854925013	0.3546921161
172	0.8541060663	0.3542406554
173	0.8541060663	0.3537594498
174	0.854925013	0.3533996652
175	0.8541060663	0.3532535619
176	0.8541060663	0.3528730715
177	0.854925013	0.3525473976
178	0.854925013	0.352415567
179	0.854925013	0.3519677381
180	0.854925013	0.3514028716
181	0.8532871197	0.3508852995
182	0.854925013	0.3504103765
183	0.854925013	0.3502133232
184	0.8541060663	0.3497865859
185	0.856220217	0.3494282389
186	0.8566964743	0.3492267929
187	0.856220217	0.3488460869
