iter	Passed	Remaining
0	2	18148
1	4	16682
2	7	16520
3	9	16039
4	11	16078
5	13	16170
6	16	16611
7	19	16657
8	21	16404
9	23	16153
10	25	16142
11	27	16197
12	30	16471
13	33	16550
14	35	16432
15	37	16299
16	39	16243
17	41	16238
18	44	16213
19	47	16411
20	49	16345
21	51	16261
22	53	16272
23	55	16178
24	59	16637
25	63	17029
26	65	17042
27	68	17067
28	70	16990
29	72	16879
30	75	16865
31	77	16933
32	79	16877
33	82	16807
34	84	16771
35	86	16690
36	88	16625
37	90	16606
38	92	16576
39	94	16515
40	96	16455
41	99	16408
42	101	16351
43	103	16338
44	105	16281
45	107	16243
46	109	16205
47	111	16167
48	113	16130
49	115	16083
50	118	16122
51	124	16633
52	126	16637
53	130	16775
54	136	17221
55	139	17312
56	141	17275
57	143	17223
58	145	17169
59	147	17118
60	150	17070
61	158	17696
62	160	17684
63	164	17775
64	169	18123
65	173	18259
66	177	18316
67	179	18286
68	182	18361
69	186	18440
70	189	18498
71	191	18472
72	194	18434
73	196	18412
74	199	18408
75	203	18527
76	206	18603
77	210	18650
78	212	18657
79	217	18800
80	219	18785
81	221	18728
82	228	19064
83	233	19226
84	238	19419
85	241	19435
86	243	19347
87	247	19449
88	251	19498
89	255	19607
90	258	19623
91	261	19605
92	266	19756
93	270	19847
94	275	19993
95	277	19982
96	280	19947
97	282	19885
98	284	19822
99	286	19773
100	288	19701
101	291	19690
102	293	19663
103	296	19635
104	298	19590
105	300	19540
106	302	19496
107	304	19450
108	312	19776
109	320	20066
110	331	20552
111	334	20562
112	340	20767
113	342	20705
114	351	21032
115	360	21404
116	367	21620
117	378	22099
118	385	22306
119	392	22522
120	406	23100
121	413	23333
122	423	23659
123	431	23930
124	441	24257
125	451	24617
126	458	24790
127	466	25051
128	471	25097
129	476	25183
130	481	25271
131	487	25380
132	494	25536
133	503	25792
134	507	25795
135	509	25730
136	521	26117
137	530	26376
138	538	26602
139	548	26859
140	557	27135
141	561	27114
142	563	27031
143	566	26956
144	568	26873
145	570	26789
146	573	26724
147	582	26945
148	590	27147
149	598	27313
150	604	27409
151	610	27506
152	617	27630
153	625	27801
154	631	27897
155	638	27999
156	650	28333
157	663	28750
158	677	29167
159	688	29450
160	698	29657
161	708	29919
162	715	30031
163	725	30251
164	732	30327
165	737	30365
166	745	30486
167	752	30617
168	756	30561
169	761	30591
170	768	30672
171	771	30646
172	774	30567
173	777	30489
174	779	30417
175	788	30567
176	794	30624
177	799	30657
178	802	30587
179	805	30530
180	808	30470
181	813	30465
182	818	30480
183	820	30402
184	822	30317
185	825	30230
186	827	30152
187	833	30208
