iter	Logloss
0	0.6786484667
1	0.6657596427
2	0.6509297091
3	0.637028511
4	0.6251422681
5	0.615285556
6	0.6023502724
7	0.5918337891
8	0.58126669
9	0.5728354775
10	0.565078384
11	0.5561217117
12	0.5469562562
13	0.5380523064
14	0.5294884337
15	0.5224475346
16	0.5144063887
17	0.5056930598
18	0.498406483
19	0.4915695846
20	0.4855027419
21	0.4795787508
22	0.472893643
23	0.4665578075
24	0.460765708
25	0.4561859124
26	0.4493559602
27	0.4438212956
28	0.4381814708
29	0.4340053495
30	0.4296737082
31	0.424986361
32	0.4195011167
33	0.4147493467
34	0.4102359952
35	0.4061672831
36	0.4021863089
37	0.3984862272
38	0.3938099256
39	0.3900420334
40	0.3865160611
41	0.3824476621
42	0.379217841
43	0.3764716888
44	0.3741400286
45	0.3706229952
46	0.36786315
47	0.3643235985
48	0.3616468794
49	0.3588370446
50	0.3563911429
51	0.3537324155
52	0.3512672696
53	0.3487407469
54	0.3452316561
55	0.3424647223
56	0.3390895728
57	0.3361878722
58	0.333656083
59	0.3314246866
60	0.3291050114
61	0.327339634
62	0.3250471741
63	0.3233522546
64	0.3209827037
65	0.3191996477
66	0.3173340065
67	0.3146897123
68	0.3128911128
69	0.3111075729
70	0.3092243954
71	0.3071363917
72	0.3054118656
73	0.3037527017
74	0.3019421743
75	0.3003324021
76	0.2984929798
77	0.2969202443
78	0.2955622989
79	0.294361126
80	0.2931680379
81	0.2913499949
82	0.2895699565
83	0.2883411698
84	0.2866259242
85	0.2849513877
86	0.2829157649
87	0.2814777678
88	0.2802337223
89	0.2790871222
90	0.277550541
91	0.2763481724
92	0.274902489
93	0.2735128873
94	0.2716581493
95	0.2695390017
96	0.2683953054
97	0.2672618006
98	0.2661050945
99	0.2650094234
100	0.2638577846
101	0.262532748
102	0.2614191992
103	0.2606338278
104	0.2594151756
105	0.2579513298
106	0.2572076923
107	0.2564748157
108	0.2553879128
109	0.2537883321
110	0.2527263955
111	0.251576237
112	0.2508042455
113	0.2497759295
114	0.2489243419
115	0.2481804482
116	0.2469645574
117	0.2463129281
118	0.2455700308
119	0.2445676774
120	0.2437155489
121	0.2427937311
122	0.2418360723
123	0.241142282
124	0.2396447017
125	0.2386881531
126	0.2378116846
127	0.2369655202
128	0.2360347492
129	0.2353840309
130	0.2342676068
131	0.2335760655
132	0.2323445743
133	0.2320365236
134	0.2312135177
135	0.2303452337
136	0.229317971
137	0.2282648879
138	0.2273409777
139	0.2261987902
140	0.2254746674
141	0.2246640593
142	0.2237482482
143	0.2233660957
144	0.2227996706
145	0.221858694
146	0.2211600357
147	0.2207165065
148	0.2196129214
149	0.218996948
150	0.2180995699
151	0.2173886989
152	0.2168167511
153	0.2158623376
154	0.2152529831
155	0.2143614551
156	0.2136083378
157	0.2129161133
158	0.2122633595
159	0.2114138216
160	0.210886853
161	0.209823308
162	0.2094450555
163	0.2085578404
164	0.2076459436
165	0.207097738
166	0.2062918414
167	0.2055411012
168	0.2051512196
169	0.2046817276
170	0.2037264458
171	0.202552901
172	0.2014544543
173	0.2004309351
174	0.1999213888
175	0.1992302746
176	0.1986828234
177	0.1984065001
178	0.1979321971
179	0.1974054989
180	0.1968596135
181	0.1960846044
182	0.1956530317
183	0.1952116659
184	0.1948056573
185	0.1941661553
186	0.1936644804
187	0.1932266589
188	0.1927703476
189	0.1925304916
190	0.1918686566
191	0.1914578084
192	0.1906015521
193	0.1900304726
194	0.1895676421
195	0.1892901801
196	0.1887258332
197	0.1883769311
198	0.187897817
199	0.1874558819
200	0.1867571383
201	0.1861775753
202	0.1857087524
203	0.1852142087
204	0.1846796107
205	0.1842774453
206	0.1837597287
207	0.1832143415
208	0.1827792529
209	0.1822049565
210	0.1819178012
211	0.1811271918
212	0.1804501406
213	0.1801714972
214	0.1795146013
215	0.1790747444
216	0.1787131741
217	0.178438203
218	0.1777742614
219	0.1769771186
220	0.1766039476
221	0.1762157029
222	0.1759478915
223	0.175693275
224	0.1750813298
225	0.1748686749
226	0.1743358989
227	0.1739177914
228	0.1736213841
229	0.1731496858
230	0.1727073095
231	0.172421663
232	0.171903007
233	0.1712340408
234	0.1706716012
235	0.1703524765
236	0.1699338282
237	0.1693353199
238	0.1689882112
239	0.1684570436
240	0.1681201977
241	0.167482361
242	0.1670363266
243	0.1663040051
244	0.1659082164
245	0.165480985
246	0.1649973872
247	0.164726971
248	0.1643318086
249	0.1637175576
250	0.1629683404
251	0.1625735624
252	0.1622433921
253	0.1615814147
254	0.1612542051
255	0.1609139003
256	0.1606092942
257	0.1600083092
258	0.1596069124
259	0.1589222034
260	0.1587314829
261	0.1585508544
262	0.1582130974
263	0.15800467
264	0.1574944832
265	0.1569682406
