iter	Passed	Remaining
0	154	1156978
1	172	647549
2	192	480480
3	211	395737
4	231	346328
5	245	307194
6	268	287113
7	284	266199
8	299	249433
9	314	235674
10	332	226472
11	350	218727
12	368	212259
13	386	206492
14	401	200463
15	418	195666
16	435	191653
17	453	188367
18	470	185082
19	487	182430
20	506	180359
21	522	177597
22	540	175752
23	561	174779
24	579	173343
25	595	171325
26	614	170106
27	632	168721
28	653	168470
29	667	166319
30	685	165063
31	705	164752
32	730	165281
33	750	164704
34	769	164152
35	786	162979
36	804	162286
37	825	162070
38	846	161981
39	866	161627
40	893	162482
41	918	163032
42	943	163592
43	962	163147
44	982	162790
45	1009	163657
46	1029	163287
47	1052	163347
48	1072	163121
49	1097	163513
50	1123	164063
51	1145	164117
52	1169	164262
53	1189	163974
54	1207	163419
55	1226	162983
56	1247	162874
57	1263	162151
58	1281	161641
59	1297	160853
60	1318	160738
61	1337	160464
62	1356	160080
63	1373	159552
64	1390	159095
65	1408	158625
66	1422	157847
67	1443	157747
68	1462	157508
69	1483	157496
70	1502	157166
71	1516	156488
72	1535	156171
73	1552	155798
74	1573	155731
75	1593	155647
76	1616	155813
77	1638	155916
78	1659	155872
79	1676	155538
80	1698	155526
81	1718	155473
82	1742	155737
83	1771	156368
84	1795	156641
85	1814	156429
86	1838	156640
87	1858	156539
88	1881	156642
89	1908	157160
90	1941	158049
91	1965	158280
92	1993	158781
93	2018	159062
94	2052	159972
95	2075	160107
96	2101	160372
97	2182	164845
98	2246	167951
99	2272	168153
100	2312	169434
101	2332	169171
102	2353	169009
103	2369	168535
104	2394	168653
105	2419	168748
106	2437	168386
107	2450	167734
108	2472	167625
109	2494	167558
110	2513	167285
111	2529	166889
112	2546	166448
113	2567	166335
114	2583	165929
115	2598	165432
116	2613	164903
117	2624	164203
118	2637	163574
119	2650	162994
120	2667	162700
121	2684	162328
122	2701	161997
123	2710	161226
124	2723	160669
125	2736	160165
126	2748	159593
127	2761	159026
128	2778	158760
129	2789	158156
130	2810	158088
131	2827	157812
132	2848	157801
133	2857	157071
134	2874	156797
135	2892	156625
136	2908	156321
137	2924	156022
138	2942	155806
139	2960	155656
140	2980	155569
141	2995	155201
142	3014	155088
143	3028	154681
144	3047	154572
145	3066	154471
146	3087	154442
147	3106	154316
148	3127	154289
149	3146	154177
150	3162	153892
151	3180	153732
152	3201	153757
153	3223	153769
154	3242	153651
155	3263	153633
156	3280	153420
157	3297	153216
158	3311	152897
159	3334	152970
160	3352	152826
161	3381	153172
162	3394	152796
163	3410	152557
164	3427	152370
165	3442	152102
166	3459	151913
167	3479	151865
168	3496	151658
169	3511	151412
170	3533	151454
171	3556	151506
172	3573	151354
173	3591	151229
174	3608	151025
175	3624	150817
176	3640	150615
177	3651	150207
178	3666	149968
179	3685	149857
180	3696	149462
181	3716	149425
182	3731	149192
183	3742	148823
184	3757	148592
185	3778	148577
186	3791	148284
187	3805	148008
188	3820	147776
189	3834	147517
190	3849	147313
191	3865	147136
192	3879	146885
193	3895	146719
194	3907	146364
195	3915	145920
196	3929	145679
197	3944	145475
198	3962	145360
199	3977	145173
200	3996	145133
201	4014	145041
202	4034	145008
203	4055	145028
204	4069	144813
205	4084	144617
206	4105	144631
207	4123	144559
208	4138	144389
209	4161	144455
210	4174	144206
211	4196	144271
212	4221	144416
213	4237	144285
214	4256	144230
215	4274	144148
216	4289	143973
217	4302	143724
218	4323	143735
219	4341	143664
220	4353	143387
221	4366	143150
222	4378	142871
223	4389	142583
224	4407	142525
225	4417	142188
226	4436	142150
227	4456	142129
228	4464	141764
229	4479	141596
230	4492	141364
231	4502	141042
232	4521	141021
233	4542	141061
234	4564	141102
235	4580	140995
236	4594	140804
237	4607	140573
238	4613	140156
239	4621	139798
240	4631	139499
241	4642	139238
242	4650	138869
243	4658	138537
244	4664	138112
245	4672	137767
246	4678	137395
247	4684	136969
248	4691	136619
249	4699	136283
250	4711	136081
251	4719	135738
252	4726	135395
253	4737	135154
254	4742	134754
255	4750	134418
256	4758	134107
257	4768	133842
258	4780	133643
259	4793	133483
260	4799	133109
261	4805	132745
262	4813	132462
263	4818	132070
264	4831	131918
265	4840	131650
266	4846	131298
267	4855	131032
268	4862	130714
269	4870	130427
270	4877	130121
271	4889	129935
272	4897	129659
273	4907	129408
274	4914	129111
275	4921	128815
276	4928	128508
277	4936	128245
278	4945	127998
279	4958	127863
280	4968	127640
281	4974	127315
282	4982	127058
283	4989	126784
284	5000	126591
285	5006	126279
286	5017	126094
287	5026	125868
288	5032	125580
289	5042	125367
290	5051	125140
291	5058	124857
292	5067	124653
293	5077	124458
294	5087	124258
295	5098	124090
296	5110	123940
297	5115	123628
298	5122	123375
299	5128	123091
300	5140	122953
301	5151	122792
302	5165	122693
303	5170	122398
304	5178	122167
305	5189	122010
306	5198	121791
307	5206	121574
308	5214	121356
309	5224	121170
310	5235	121013
311	5246	120860
