iter	Logloss
0	0.6845696775
1	0.674479314
2	0.6661746797
3	0.6546987537
4	0.644276929
5	0.6325083336
6	0.6257884656
7	0.6193753535
8	0.6121180642
9	0.6056030532
10	0.5904631162
11	0.5826138103
12	0.5806961741
13	0.5736778793
14	0.5688188535
15	0.5628915297
16	0.5578855673
17	0.5532665005
18	0.5513156641
19	0.5494011524
20	0.5434566038
21	0.5384724671
22	0.5349478949
23	0.5321047588
24	0.5285105643
25	0.5238469285
26	0.5212001007
27	0.5176999208
28	0.5156372311
29	0.5127185481
30	0.5091842674
31	0.5067571805
32	0.5035782561
33	0.5006037224
34	0.4993571235
35	0.4972361932
36	0.4925398672
37	0.4912578604
38	0.4886686919
39	0.4875997275
40	0.486347124
41	0.485200903
42	0.4842414191
43	0.4833904652
44	0.4812934722
45	0.4786591722
46	0.4746422519
47	0.4730514478
48	0.4711953393
49	0.470596581
50	0.4690854289
51	0.4675391334
52	0.4664114872
53	0.4607926527
54	0.4600103213
55	0.4573279975
56	0.4556500957
57	0.4539659918
58	0.4532820579
59	0.4513181348
60	0.4499479458
61	0.4492556073
62	0.4474392996
63	0.444773144
64	0.4425080858
65	0.4406439534
66	0.4396789497
67	0.4379793777
68	0.4369645129
69	0.436386739
70	0.4351994136
71	0.4331600514
72	0.4322089944
73	0.4318401079
74	0.4308225487
75	0.4290153873
76	0.4280485252
77	0.4274220101
78	0.4258300683
79	0.4249815871
80	0.4243037337
81	0.4232729763
82	0.4224117764
83	0.4215924597
84	0.4210592495
85	0.4198451634
86	0.4188788855
87	0.4176648508
88	0.4171096772
89	0.4167295608
90	0.4161342059
91	0.4148591843
92	0.4135003891
93	0.4128343519
94	0.412139083
95	0.410657843
96	0.4097451957
97	0.4079482671
98	0.4074502234
99	0.4065835821
100	0.4059156765
101	0.4054344186
102	0.405092266
103	0.4040098157
104	0.4033091097
105	0.4024227401
106	0.4014783901
107	0.401315975
108	0.4011016033
109	0.4003595281
110	0.3993737117
111	0.3988174904
112	0.3978327059
113	0.3966220932
114	0.3957591448
115	0.3947663178
116	0.3936908314
117	0.3930955749
118	0.3924349836
119	0.3920638061
120	0.3914918824
121	0.3906915962
122	0.3894190417
123	0.3886658196
124	0.3881590921
125	0.3876504077
126	0.3872591169
127	0.3863648963
128	0.3856448061
129	0.3848334202
130	0.38438926
131	0.3837814066
132	0.3833692325
133	0.3830850905
134	0.382224379
135	0.3819355132
136	0.3811687685
137	0.380467435
138	0.3798936476
139	0.3797107031
140	0.379452058
141	0.3792524282
142	0.3778914736
143	0.3770439531
144	0.3761841283
145	0.3754709544
146	0.3748499767
147	0.3745410466
148	0.3739332452
149	0.3734798829
150	0.3727121572
151	0.3721337678
152	0.3711140343
153	0.370706397
154	0.3700463819
155	0.3695740666
156	0.3691748853
157	0.3689021092
158	0.3685310652
159	0.3683911672
160	0.3679707255
161	0.367434245
162	0.3670919767
163	0.3662682445
164	0.3655914222
165	0.3647395418
166	0.364353223
167	0.3634627645
168	0.3633075661
169	0.3629499357
170	0.362608006
171	0.3623803149
172	0.3621350539
173	0.3617283499
174	0.3613954199
175	0.3610921527
176	0.3603300915
177	0.359383337
178	0.3587831675
179	0.3576777205
180	0.356947654
181	0.3566315046
182	0.3564045412
183	0.35620947
184	0.3559862931
185	0.3557344796
186	0.355499786
187	0.3549616744
188	0.3545879808
189	0.3540971057
190	0.3535845118
191	0.3532452122
192	0.3526906786
193	0.3524201143
194	0.3516290939
195	0.3508150011
196	0.3503328462
197	0.3500384759
198	0.3497888551
199	0.3494809322
200	0.3494466875
201	0.3489537864
202	0.3483142806
203	0.3476462092
204	0.3474351492
205	0.3469593296
206	0.3465871661
207	0.3460278991
208	0.3454169532
209	0.3451243628
210	0.3446232822
211	0.3443060576
212	0.3434202803
213	0.3428516876
214	0.3427518669
215	0.3424063908
216	0.342205349
217	0.3416717712
218	0.3407532771
219	0.3404871906
220	0.3401475044
221	0.339827539
222	0.3396154006
223	0.3392672424
224	0.3387414034
225	0.3381199547
226	0.3375720197
227	0.3368372515
228	0.336544048
229	0.3363185165
230	0.335792561
231	0.3349775639
232	0.3346393443
233	0.3342046171
234	0.3337735098
235	0.3332511872
236	0.3328269628
237	0.3324163597
238	0.3318337314
239	0.3313450516
240	0.3311788924
241	0.3309445682
242	0.3308110771
243	0.3302892147
244	0.3295358324
245	0.3289217148
246	0.3282304815
247	0.3278315979
248	0.3270016701
249	0.3266142223
250	0.3261810483
251	0.3255748397
252	0.3251480446
253	0.3245924051
254	0.3242029009
255	0.3238126661
256	0.3235681987
257	0.3229482104
258	0.3226399334
259	0.3221560922
260	0.3218454974
261	0.3210217959
262	0.3203596225
263	0.3202133839
264	0.3194220932
265	0.3187344647
266	0.31842115
267	0.3181325081
268	0.3174528853
269	0.3168839677
270	0.3164899126
271	0.3159017027
272	0.3151861453
273	0.3147923017
274	0.3141018395
275	0.313534978
276	0.313314787
277	0.3124962057
278	0.3116809807
279	0.3109190107
280	0.3105133994
281	0.3097770081
282	0.3094872944
283	0.3091499324
284	0.309020247
285	0.3081718002
286	0.3076485903
287	0.3071884661
288	0.3064695875
289	0.3058489671
290	0.3053676087
291	0.3048092279
292	0.3041133529
293	0.3034272538
294	0.3030593523
295	0.3028654899
296	0.3021249522
297	0.3014807626
298	0.3008999113
299	0.3001760234
300	0.2997101005
301	0.2992963098
302	0.2986906831
303	0.2977864706
304	0.2970593363
305	0.2966448672
306	0.2960351226
307	0.2955153975
308	0.2949173901
309	0.294411553
310	0.2934160201
311	0.2928346794
312	0.2921751979
313	0.2916005278
314	0.2914229061
315	0.2910148034
316	0.2904032035
317	0.2900708099
318	0.289442883
319	0.2888970695
320	0.288418783
321	0.2877270938
322	0.2870090765
323	0.286369901
324	0.2858496926
325	0.285458049
326	0.2849711284
327	0.2841679396
328	0.2833621208
329	0.2828561233
330	0.2823212538
331	0.2815468429
332	0.2809330902
333	0.2807919474
334	0.2805269404
335	0.2800519126
336	0.2799010078
337	0.2793830581
338	0.2788358704
339	0.2784449359
340	0.2777954804
341	0.2772555247
342	0.2765370615
343	0.276173393
344	0.2755994083
345	0.2751301688
346	0.2745988489
347	0.2739323841
348	0.2735608866
349	0.2730822507
350	0.2725940157
351	0.272204399
352	0.2716131895
353	0.271059148
354	0.2704632888
355	0.2698972433
356	0.2693124333
357	0.2687845974
358	0.2683625476
359	0.2679920059
360	0.2673924236
361	0.2668216178
362	0.2663180718
363	0.2656317862
364	0.265132079
365	0.2648119562
366	0.2641787845
367	0.2636638885
368	0.2630644732
369	0.2625501593
370	0.2620042755
371	0.2614191165
372	0.2609306913
373	0.2604932376
374	0.259945837
375	0.2594644229
376	0.2590130452
377	0.2585207103
378	0.2578963674
379	0.2574501531
380	0.2570050654
381	0.256606234
382	0.2560793821
383	0.2555646567
384	0.25483307
385	0.2543051963
386	0.2539881814
387	0.2534919036
388	0.2528810724
389	0.2523529042
390	0.2517079366
391	0.2512051047
392	0.2508655757
393	0.2504299076
394	0.2499374706
395	0.2498585725
396	0.2495754481
397	0.2490723744
398	0.2485787063
399	0.247971077
400	0.2474254402
401	0.2473497627
