iter	Passed	Remaining
0	165	829231
1	181	453851
2	191	318999
3	206	257673
4	223	223561
5	240	200550
6	258	184660
7	274	171288
8	292	161986
9	311	155520
10	329	149478
11	344	143211
12	361	138582
13	379	135003
14	396	131639
15	414	129020
16	437	128306
17	460	127458
18	479	125821
19	496	123637
20	513	121678
21	534	120953
22	554	119950
23	572	118769
24	594	118345
25	615	117712
26	633	116747
27	651	115775
28	675	115815
29	698	115674
30	716	114875
31	734	114014
32	756	113800
33	772	112854
34	787	111685
35	799	110233
36	815	109329
37	825	107798
38	840	106975
39	853	105802
40	866	104773
41	881	104105
42	894	103092
43	908	102330
44	923	101722
45	939	101149
46	959	101079
47	974	100562
48	994	100493
49	1013	100372
50	1031	100122
51	1047	99682
52	1064	99316
53	1082	99174
54	1103	99251
55	1123	99205
56	1143	99123
57	1157	98610
58	1178	98704
59	1201	98963
60	1222	99019
61	1242	98946
62	1260	98770
63	1274	98309
64	1291	98074
65	1307	97723
66	1323	97416
67	1340	97250
68	1356	96946
69	1377	96994
70	1397	96999
71	1414	96790
72	1430	96580
73	1452	96660
74	1477	97017
75	1496	96968
76	1520	97200
77	1538	97104
78	1572	97922
79	1599	98339
80	1629	98926
81	1650	98989
82	1671	99044
83	1694	99167
84	1718	99348
85	1738	99311
86	1761	99497
87	1782	99483
88	1805	99631
89	1828	99752
90	1848	99692
91	1873	99954
92	1899	100213
93	1926	100520
94	1943	100328
95	1961	100216
96	1981	100180
97	1999	100005
98	2021	100063
99	2049	100430
100	2071	100497
101	2091	100425
102	2110	100358
103	2129	100245
104	2149	100218
105	2166	100027
106	2187	100039
107	2202	99742
108	2218	99527
109	2238	99497
110	2259	99526
111	2284	99693
112	2306	99731
113	2323	99590
114	2344	99569
115	2362	99475
116	2385	99577
117	2410	99716
118	2425	99496
119	2445	99457
120	2463	99317
121	2483	99291
122	2501	99204
123	2516	98951
124	2538	98996
125	2556	98895
126	2577	98911
127	2596	98842
128	2618	98857
129	2640	98927
130	2661	98909
131	2681	98900
132	2696	98657
133	2717	98665
134	2735	98577
135	2752	98449
136	2792	99123
137	2826	99581
138	2867	100274
139	2893	100458
140	2930	100995
141	2958	101215
142	2986	101444
143	3009	101487
144	3026	101338
145	3050	101427
146	3070	101377
147	3094	101441
148	3114	101389
149	3130	101229
150	3150	101156
151	3167	101020
152	3182	100810
153	3192	100467
154	3204	100169
155	3221	100030
156	3232	99705
157	3251	99644
158	3269	99541
159	3282	99297
160	3299	99160
161	3317	99068
162	3328	98781
163	3343	98603
164	3359	98435
165	3371	98173
166	3385	97974
167	3397	97729
168	3409	97477
169	3430	97469
170	3448	97377
171	3472	97476
172	3493	97468
173	3518	97596
174	3536	97496
175	3549	97295
176	3567	97203
177	3590	97261
178	3641	98067
179	3684	98665
180	3720	99068
181	3744	99131
182	3781	99545
183	3812	99792
184	3837	99880
185	3854	99756
186	3870	99623
187	3890	99571
188	3915	99661
189	3928	99444
190	3948	99414
191	3962	99216
192	3980	99139
193	3997	99037
194	4016	98982
195	4038	98978
196	4056	98911
197	4084	99054
198	4104	99022
199	4116	98792
200	4135	98732
201	4151	98605
202	4176	98685
203	4194	98610
204	4216	98621
205	4243	98753
206	4260	98652
207	4286	98763
208	4305	98705
209	4327	98696
210	4346	98653
211	4365	98601
212	4392	98717
213	4416	98764
214	4440	98834
215	4454	98657
216	4468	98489
217	4488	98461
218	4509	98450
219	4528	98402
220	4540	98183
221	4560	98156
222	4571	97935
223	4582	97710
224	4606	97756
225	4623	97666
226	4639	97560
227	4653	97391
228	4669	97283
229	4681	97082
230	4698	96999
231	4715	96918
232	4727	96717
233	4744	96624
234	4757	96457
235	4769	96278
236	4789	96256
237	4802	96089
238	4821	96048
239	4838	95964
240	4855	95871
241	4869	95731
242	4884	95618
243	4906	95639
244	4930	95692
245	4953	95727
246	4971	95662
247	4996	95733
248	5009	95591
249	5027	95520
250	5045	95464
251	5064	95413
252	5074	95214
253	5093	95168
254	5108	95061
255	5128	95031
256	5138	94838
257	5161	94869
258	5185	94915
259	5198	94781
260	5216	94718
261	5236	94703
262	5254	94639
263	5268	94513
264	5282	94395
265	5301	94356
266	5315	94225
267	5331	94145
268	5344	93989
269	5366	94016
270	5383	93947
271	5396	93801
272	5412	93710
273	5433	93717
274	5444	93552
275	5459	93449
276	5473	93320
277	5492	93287
278	5509	93226
279	5522	93095
280	5548	93174
281	5559	93008
282	5572	92876
283	5596	92934
284	5612	92849
285	5632	92839
286	5645	92705
287	5668	92744
288	5689	92743
289	5703	92640
290	5720	92573
291	5737	92511
292	5758	92514
293	5773	92422
294	5793	92394
295	5815	92417
296	5825	92252
297	5844	92216
298	5863	92187
299	5884	92189
300	5899	92104
301	5915	92024
302	5938	92052
303	5956	92013
304	5975	91982
305	5986	91838
306	5999	91711
307	6021	91722
308	6035	91619
309	6057	91636
310	6070	91527
311	6091	91521
312	6101	91369
313	6108	91165
314	6119	91015
315	6125	90799
316	6136	90654
317	6145	90479
318	6152	90282
319	6163	90136
320	6169	89934
321	6175	89722
322	6188	89606
323	6196	89427
324	6206	89282
325	6218	89159
326	6232	89059
327	6245	88953
328	6251	88751
329	6262	88620
330	6269	88437
331	6279	88293
332	6286	88098
333	6293	87915
334	6299	87729
335	6306	87540
336	6313	87357
337	6321	87189
338	6329	87022
339	6337	86867
340	6343	86673
341	6349	86484
342	6353	86268
343	6359	86076
344	6365	85886
345	6376	85767
346	6383	85595
347	6391	85444
348	6396	85245
349	6404	85086
350	6412	84927
351	6418	84748
352	6423	84556
353	6432	84425
354	6440	84273
355	6446	84093
356	6452	83919
357	6460	83769
358	6466	83599
359	6473	83440
360	6481	83283
361	6486	83112
362	6495	82970
363	6508	82890
364	6514	82725
365	6526	82633
366	6533	82476
367	6539	82314
368	6550	82209
369	6555	82027
370	6560	81858
371	6567	81705
372	6573	81542
373	6584	81439
374	6593	81319
375	6600	81174
376	6607	81019
377	6611	80838
378	6617	80682
379	6623	80525
380	6629	80377
381	6635	80218
382	6646	80124
383	6655	80006
384	6664	79891
385	6673	79769
386	6679	79622
387	6686	79481
388	6691	79312
389	6699	79193
390	6707	79063
391	6719	78993
392	6725	78836
393	6731	78696
394	6742	78604
395	6749	78475
396	6756	78339
397	6765	78222
398	6771	78082
399	6775	77923
400	6783	77800
401	6789	77661
402	6800	77568
403	6813	77515
404	6822	77408
405	6827	77253
406	6834	77132
407	6847	77071
408	6855	76956
409	6869	76905
410	6875	76766
411	6885	76673
412	6891	76542
413	6902	76465
414	6909	76338
415	6923	76293
416	6935	76225
417	6946	76145
418	6956	76054
419	6968	75986
420	6980	75926
421	6989	75825
422	7002	75769
423	7011	75666
424	7025	75627
425	7036	75554
426	7048	75485
427	7062	75444
428	7070	75336
429	7081	75258
430	7088	75142
431	7100	75085
432	7113	75031
433	7118	74891
434	7135	74882
435	7151	74860
436	7170	74876
437	7180	74786
438	7190	74700
439	7204	74665
440	7221	74654
441	7243	74697
442	7257	74650
443	7276	74665
444	7286	74580
445	7297	74514
446	7316	74526
447	7330	74480
448	7337	74376
449	7351	74334
450	7359	74232
451	7369	74155
452	7382	74105
453	7390	74000
454	7400	73924
455	7405	73796
456	7416	73727
457	7442	73804
458	7458	73790
459	7474	73766
460	7494	73787
461	7507	73745
462	7521	73702
463	7530	73619
464	7545	73591
465	7559	73553
466	7569	73472
467	7580	73411
468	7591	73343
469	7600	73260
470	7609	73172
471	7618	73089
472	7627	72999
473	7634	72895
474	7642	72803
475	7654	72750
476	7664	72678
477	7673	72591
478	7680	72494
479	7692	72437
480	7702	72368
481	7709	72263
482	7716	72167
483	7725	72082
484	7734	71999
485	7747	71955
486	7757	71891
487	7766	71806
488	7776	71733
489	7783	71635
490	7791	71551
491	7800	71469
492	7809	71392
493	7829	71415
494	7844	71391
495	7855	71333
496	7870	71309
497	7876	71206
498	7890	71176
499	7901	71112
500	7911	71046
501	7927	71035
502	7940	70990
503	7949	70913
504	7963	70880
505	7977	70847
506	7987	70783
507	7998	70730
508	8010	70676
509	8023	70639
510	8037	70611
511	8056	70615
512	8066	70556
513	8078	70503
514	8091	70467
515	8106	70447
516	8118	70393
517	8128	70333
518	8142	70299
519	8164	70343
520	8179	70317
521	8202	70365
522	8219	70358
523	8232	70325
524	8243	70262
525	8255	70217
526	8275	70239
527	8297	70275
528	8315	70283
529	8325	70215
530	8337	70172
531	8359	70207
532	8371	70162
533	8380	70089
534	8394	70056
535	8404	69999
536	8424	70016
537	8435	69962
538	8447	69911
539	8465	69915
540	8481	69903
541	8492	69853
542	8502	69787
543	8516	69762
544	8527	69708
545	8539	69658
546	8547	69586
547	8563	69568
548	8572	69504
549	8580	69425
550	8591	69371
551	8606	69351
552	8617	69300
553	8635	69302
554	8648	69265
555	8664	69255
556	8677	69214
557	8696	69230
558	8708	69188
559	8721	69146
560	8728	69068
561	8744	69053
562	8763	69063
563	8772	69000
564	8792	69016
565	8805	68982
566	8817	68940
567	8829	68898
568	8847	68898
569	8870	68941
570	8887	68933
571	8902	68916
572	8919	68910
573	8936	68908
574	8947	68857
575	8963	68842
576	8971	68771
577	8982	68724
578	8996	68691
579	9014	68697
580	9024	68636
581	9043	68652
582	9063	68670
583	9076	68632
584	9085	68566
585	9097	68529
586	9112	68506
587	9125	68475
588	9140	68449
589	9155	68430
590	9168	68401
591	9180	68353
592	9196	68348
593	9207	68299
594	9221	68268
595	9240	68281
596	9259	68292
597	9275	68278
598	9291	68270
599	9307	68257
600	9322	68236
601	9333	68183
602	9352	68197
603	9368	68187
604	9388	68202
