iter	Passed	Remaining
0	2	15483
1	4	16051
2	25	60220
3	28	48979
4	29	41058
5	30	35954
6	33	33111
7	36	31883
8	51	39934
9	53	37323
10	54	34875
11	67	39236
12	70	37993
13	72	36301
14	74	34746
15	76	33446
16	78	32128
17	79	30961
18	83	30820
19	85	29838
20	86	28843
21	88	27964
22	89	27256
23	91	26486
24	92	25781
25	94	25217
26	95	24593
27	98	24461
28	101	24285
29	103	23973
30	110	24899
31	113	24725
32	116	24543
33	126	25826
34	128	25643
35	131	25400
36	140	26425
37	142	26114
38	144	25792
39	155	27097
40	157	26711
41	159	26344
42	171	27673
43	173	27368
44	174	27012
45	186	28252
46	189	28016
47	191	27731
48	193	27486
49	201	27980
50	203	27720
51	205	27425
52	215	28205
53	216	27895
54	218	27572
55	220	27282
56	221	27034
57	223	26755
58	225	26522
59	230	26680
60	232	26439
61	234	26193
62	235	25972
63	237	25765
64	239	25561
65	244	25640
66	246	25477
67	247	25255
68	249	25061
69	251	24869
70	252	24658
71	259	24977
72	261	24823
73	263	24661
74	274	25361
75	277	25251
76	279	25135
77	281	24997
78	288	25315
79	291	25253
80	294	25123
81	302	25546
82	305	25484
83	307	25333
84	317	25820
85	320	25740
86	323	25692
87	326	25637
88	328	25497
89	330	25344
90	362	27558
91	365	27426
92	367	27262
93	378	27784
94	381	27705
95	383	27611
96	388	27622
97	391	27581
98	393	27432
99	395	27274
100	406	27788
101	408	27619
102	409	27443
103	411	27280
104	421	27672
105	423	27517
106	424	27349
107	426	27206
108	427	27048
109	429	26881
110	436	27071
111	437	26917
112	439	26762
113	440	26618
114	442	26478
115	443	26327
116	445	26192
117	446	26052
118	448	25932
119	450	25824
120	452	25721
121	454	25597
122	455	25465
123	457	25348
124	458	25219
125	459	25092
126	461	24964
127	463	24859
128	465	24801
129	467	24701
130	497	26060
131	499	25985
132	501	25874
133	513	26295
134	516	26275
135	518	26183
136	526	26396
137	529	26351
138	533	26314
139	542	26568
140	544	26503
141	547	26428
142	557	26753
143	560	26690
144	563	26625
145	573	26901
146	575	26842
147	578	26776
148	580	26692
149	582	26604
150	584	26509
151	602	27147
152	604	27065
153	606	26963
154	616	27243
155	619	27170
156	621	27070
157	631	27336
158	633	27239
159	634	27127
160	647	27520
161	649	27421
162	651	27313
163	662	27623
164	665	27578
165	667	27475
166	676	27674
167	678	27604
168	680	27508
169	694	27900
170	696	27825
171	698	27735
172	707	27910
